rid,method,seed_method,n,k,rng,budget,iters,time,aspl,gap,diameter,girth,deg_min,deg_max,connected
28,A_random,-,50,4,1007,,,0.0005744179999283006,2.9093877551020406,0.12251968503937001,5,3,4,4,1
29,B_girthfirst,-,50,4,2000,,,1.721761669999978,2.843265306122449,0.097007874015748,5,5,4,4,1
30,B_girthfirst,-,50,4,2001,,,1.7224746859999414,2.800816326530612,0.08062992125984246,5,5,4,4,1
31,B_girthfirst,-,50,4,2002,,,1.7218435030000592,2.8302040816326532,0.09196850393700795,5,5,4,4,1
32,B_girthfirst,-,50,4,2003,,,1.7231228809999948,2.8024489795918366,0.08125984251968499,5,5,4,4,1
33,B_girthfirst,-,50,4,2004,,,1.8688891589999912,2.797551020408163,0.0793700787401574,5,5,4,4,1
34,C_greedy,-,50,4,-1,,,0.023664540000027046,2.783673469387755,0.07401574803149609,4,4,4,4,1
35,D_circulant,-,50,4,-1,,,0.01456813700008297,3.36734693877551,0.2992125984251968,5,4,4,4,1
36,E_polish,C,50,4,4000,quick,1582,1.0652909789999967,2.7322448979591836,0.05417322834645666,4,5,4,4,1
37,E_polish,C,50,4,4000,thorough,12730,8.062800496000023,2.697142857142857,0.040629921259842494,4,5,4,4,1
38,E_polish,D,50,4,4100,quick,1575,1.0581638690000545,2.736326530612245,0.05574803149606298,4,5,4,4,1
39,E_polish,D,50,4,4100,thorough,12713,8.059353537999982,2.6987755102040816,0.04125984251968502,4,5,4,4,1
40,E_polish,A,50,4,4200,quick,1529,1.0562305160000278,2.736326530612245,0.05574803149606298,4,5,4,4,1
41,E_polish,A,50,4,4200,thorough,12531,8.060604539999986,2.699591836734694,0.041574803149606286,4,5,4,4,1
0,A_random,-,100,3,1000,,,0.0015548570000873951,4.764242424242425,0.11503546099290796,8,4,3,3,1
1,A_random,-,100,3,1001,,,0.0002980409999508993,4.841818181818182,0.1331914893617022,9,3,3,3,1
2,A_random,-,100,3,1002,,,0.0006584960000282081,4.82,0.12808510638297885,9,3,3,3,1
3,A_random,-,100,3,1003,,,0.0011153530000456158,4.8274747474747475,0.12983451536643031,9,3,3,3,1
4,A_random,-,100,3,1004,,,0.0012204629999814642,4.7327272727272724,0.1076595744680851,8,4,3,3,1
5,A_random,-,100,3,1005,,,0.0006124090000412252,4.8115151515151515,0.1260992907801419,9,4,3,3,1
6,A_random,-,100,3,1006,,,0.0009801310000057128,4.867070707070707,0.13910165484633571,9,4,3,3,1
7,A_random,-,100,3,1007,,,0.00018992799994066445,4.781212121212121,0.11900709219858163,8,3,3,3,1
8,B_girthfirst,-,100,3,2000,,,2.4255810660000634,4.641818181818182,0.08638297872340427,8,7,3,3,1
9,B_girthfirst,-,100,3,2001,,,2.1243188439999585,4.54080808080808,0.06274231678486994,8,8,3,3,1
10,B_girthfirst,-,100,3,2002,,,2.1248463780000293,4.5519191919191915,0.0653427895981087,8,8,3,3,1
11,B_girthfirst,-,100,3,2003,,,2.7197025179999628,4.67959595959596,0.09522458628841622,8,6,3,3,1
12,B_girthfirst,-,100,3,2004,,,2.125526610999941,4.5624242424242425,0.06780141843971639,8,8,3,3,1
13,C_greedy,-,100,3,-1,,,0.04669270699992012,4.471313131313131,0.04647754137115846,7,7,3,3,1
14,D_circulant,-,100,3,-1,,,0.0021306240000740218,13.121212121212121,2.0709219858156027,25,4,3,3,1
15,E_polish,C,100,3,4000,quick,416,1.2333810979999953,4.471313131313131,0.04647754137115846,7,7,3,3,1
16,E_polish,C,100,3,4000,thorough,3186,8.241845092999938,4.412121212121212,0.03262411347517736,7,8,3,3,1
17,E_polish,D,100,3,4100,quick,405,1.2030028000000357,4.649696969696969,0.08822695035460994,9,3,3,3,1
18,E_polish,D,100,3,4100,thorough,3227,8.20826790000001,4.432121212121212,0.03730496453900705,7,8,3,3,1
19,E_polish,A,100,3,4200,quick,409,1.2420248409999886,4.512323232323232,0.05607565011820331,8,7,3,3,1
20,E_polish,A,100,3,4200,thorough,3154,8.242112046999978,4.422424242424243,0.03503546099290795,7,7,3,3,1
21,A_random,-,100,4,1000,,,0.005069513000080406,3.5844444444444443,0.09524691358024681,6,3,4,4,1
22,A_random,-,100,4,1001,,,0.01574573400000645,3.555151515151515,0.08629629629629623,6,3,4,4,1
23,A_random,-,100,4,1002,,,0.0039780329999530295,3.552929292929293,0.08561728395061725,6,3,4,4,1
24,A_random,-,100,4,1003,,,0.0016281119999348448,3.585252525252525,0.09549382716049372,7,3,4,4,1
25,A_random,-,100,4,1004,,,0.005983149999906345,3.573131313131313,0.09179012345679,6,3,4,4,1
26,A_random,-,100,4,1005,,,0.004399544999955651,3.551111111111111,0.08506172839506167,6,3,4,4,1
27,A_random,-,100,4,1006,,,0.0021776419999923746,3.5454545454545454,0.08333333333333326,6,3,4,4,1
28,A_random,-,100,4,1007,,,0.0005952729999307849,3.54,0.08166666666666661,6,3,4,4,1
29,B_girthfirst,-,100,4,2000,,,1.906953028000089,3.4802020202020203,0.06339506172839503,6,5,4,4,1
30,B_girthfirst,-,100,4,2001,,,1.9076811520000092,3.476969696969697,0.06240740740740736,6,5,4,4,1
31,B_girthfirst,-,100,4,2002,,,1.5467738309999959,3.4052525252525254,0.040493827160493816,6,6,4,4,1
32,B_girthfirst,-,100,4,2003,,,1.9063879980000138,3.457777777777778,0.05654320987654316,6,5,4,4,1
